objectid,filename,title,creator,date,description,subject,location,latitude,longitude,source,identifier,physical-description,type,medium,format,language,rights,parentid
lwh_100,,Travel Across Mediums: A Selection of Eighteenth-Century Travel Diaries,Ariannie Autie,2024,"In the 18th century travel and accounts of travel were considered learning opportunities, especially for younger upper-class men. During these travels, it was common practice for young men to create travel diaries. The writers of these accounts would typically include details on cities, towns, monuments, and historical sites which they could later return to and reference if necessary. This suggests that, while they could be for personal use, they also adopted a more outward and audience-oriented approach to diary writing instead of treating it as a self-reflective exercise. Since travel was considered a learning opportunity, especially for upper-class men, it was common for such men to keep diaries while traveling to document their experiences. The manuscript book copy of John Ward’s travel diary presents an example of this type of writing. As a copy of the original, it calls into question for whom and what this travel diary was intended.",Belgium; Netherlands; France; travel; Holland,"London, England",,,,,,,,compound_object,,public domain,
lwh_101,lwh_101.jpg,"A Journal of a short excursion from London through the province of Holland and part of Flanders to Paris with the adjacent country, and back to London between the 28 of August and 12 of October following in the year 1733","Ward, John",1733 ca.,"This manuscript is a hand-written copy of John Ward’s travel diary (ca. 1733) written during a trip in his later life. As a Fellow of the Royal Society and a Fellow of the Society of the Antiquaries, Ward would have been aware of the importance and social use of travel diaries, so it can be assumed that this copy was created to be shared by Ward with his close friends within these societies. Provenance notes allow us to trace former ownership of the diary to Gresham College in London, where Ward was a professor of rhetoric, and eventually to the British Museum/Library, although the precise timeline is unknown. In the diary there is a note in pencil stating that the handwriting found within is not Ward’s, which can lead us to assume that Ward employed a scribe to create this copy. The dated daily entries are reflective of modern diaries, however the straightforward manner in which Ward recounts his days and provides details, historical facts, and context for the sites he visits suggest that this journal could have been both for referential use and an audience of Ward’s upper-class male peers.  ",Belgium; Netherlands; France; travel,"London, England",51.507351,-0.127758,https://catalog.libraries.psu.edu/catalog/12762261,RBM 9557 Mss. book 27/shelf GG,Vellum Covers; 8 x 6 ½ inches,,manuscript,image/jpg,English,public domain,lwh_100
lwh_102,lwh_102.jpg,"Tour by the Rhine through Switzerland and part of France in the summer and autumn of 1818, by a Stranger, 1818 July 20-Autumn",Anonymous,1818,"Signed “by a Stranger”, this manuscript travel diary presumably belonged to a young man in England (ca. 1818), writing nearly a century after John Ward. The well-preserved leather cover and marbled end pages are evidence of a writer wealthy enough to purchase a notebook made of long-lasting materials, signaling that the author would most likely have been of the socioeconomic status that understood the value of recounting one’s travels in this form. Much like John Ward’s diary, this item also includes a title page and dated entries. Similarly, the author provides the reader with an extremely detailed account of the towns and historical sites they encounter throughout their travels, including an illustration of a bridge layout. Aside from the travel details such as lodging and travel prices, the author provides several pages of generalized practical advice for other travelers. These details, in addition to a preface in which the author states that the diary was written for their friends, demonstrate the practical and social uses of travel diaries in this period.  ",travel,"London, England",51.507351,-0.127758,https://catalog.libraries.psu.edu/catalog/2202697,1984-0049R A-S Mss. book,Leather Covers; Marbled Endpages; 8 ¾ x 7 inches,,manuscript,image/jpg,English,public domain,lwh_100
lwh_103,lwh_103.jpg,A short tour made in the year one thousand seven hundred and seventy one,"Seymore Percy, Elizabeth",1775,"While the other two items in the selection were authored by men, this print book, published ca. 1775, was authored by the Duchess of Northumberland which provides a female perspective to travel writing. Lady Elizabeth was well known for her extensive travels in her later years after retiring from court, making her diary an interesting subject for publication. Penned directly after her departure from court in 1770, the title pages and dated entries resemble the other travel diaries in the selection. Similarly, Lady Elizabeth carefully recounts her days, providing details of historical sites, travel conditions, purchases, and the people she interacted with throughout her travels without offering self-reflective commentary. However, the print nature of this book suggests that there must have been a public audience for this diary, even if the membership of the audience is not as clear as the other two items.   ",Belgium; Holland; France; travel,"London, England",51.507351,-0.127758,https://catalog.libraries.psu.edu/catalog/1077446,D917.N87,Missing Covers; Marbled Endpages; 8 ¾ x 5 ¾ inches,,print,image/jpg,English,public domain,lwh_100
lwh_200,,Material Crossroads: Adding Life to Print in the Eighteenth Century,Mollie Bowman,2024,"Life writing can encompass the material states of a used and altered text. These include the lingering signs of life in physical alterations of books made by human agents. Take for example a Frankenstein-like Bible, or, a Bible made up of disparate parts pieced together by its owner, James Merrick (1720–1769), an English poet, scholar, and fellow of Trinity College. By disassembling a printed vernacular Bible and inserting its individual pages between manuscript leaves, Merrick placed his dismantled and rehoused Bible at a ‘material crossroads’ between manuscript and print that centralizes human interaction with a text in its altered material state. In other books of the eighteenth century, the intimate relationship between text, material, and person demonstrates how a physical book can show traces of its own life and the lives of those who altered it. ",Bible; annotation; memoir; theatre; actors; comedians,"Great Britain; Oxford, England; London, England",,,,,,,,compound_object,,public domain,
lwh_201,lwh_201.jpg,"The Holy Bible, containing the Old Testament from Kings II to Ezekiel, with manuscript notes and commentary by James Merrick","Merrick, James",1740-1769,"In the post-Reformation world of eighteenth-century England, people tended to have intense relationships with their Bibles. Christian readers were encouraged and taught to annotate their Bibles, whether through instructions printed in prefatory material or devotional guides. It is, then, not surprising that James Merrick, eighteenth-century poet and religious scholar, so extensively annotated his own Bible. However, what is most striking about this object is not necessarily Merrick’s detailed annotations but the unusual measures he took to make those annotations possible, leading to a text that appears materially strange. In an effort to provide himself with the space he needed to take notes on the scriptures, Merrick disassembled a printed vernacular Bible and tipped in, or pasted, its individual pages between a blank manuscript book’s leaves. In doing so, Merrick merged what were the two main vessels of writing: the printed and the manuscript pages. His interaction with the text is not just intellectual, as manifested in his handwritten annotations, but also physical, as readily apparent through this text’s altered material state. ",Bible; annotation,Great Britain,53.719028,-2.072784,https://catalog.libraries.psu.edu/catalog/14744305,RBM 9557 MSS. BOOK 35|ZSHELF GG,Vellum Covers; folio; frequent annotation; inserts; tipped-in pages; 11 x 7 inches,,manuscript and print,image/jpg,English; Latin; Hebrew; Greek,public domain,lwh_200
lwh_202,lwh_202.jpg,"The Holy Bible, containing the Old and New Testaments, newly translated out of the original tongues and with the former translations diligently compared and revised: by His Majesty's special command, appointed to be read in churches","Bye, Deodatus",1732,"This early-eighteenth century Bible is contemporary to Merrick’s “Frankenstein” Bible and has been annotated in a similar fashion. Deodatus Bye (1744–1826), a printer primarily of religious tracts, provided extensive manuscript annotations alongside the printed text, once again merging materials and fostering space for personal interaction with the text. However, unlike Merrick, Bye opted to add manuscript leaves into his Bible rather than adding individual pages to a bound manuscript. Bye’s method of “interleaving” entailed inserting blank pages between printed pages, a process typically done by the printer. It is on these interleaved pages that Bye wrote his substantial notes on the scriptures. Yet, even within this format, Bye adds his own flair. On the tipped in page facing Chapter XLIX of Genesis, Bye has attached a loose manuscript sheet by pinning it to the page with a nail. Rather than disassembling his Bible, Bye has added to it, and these added materials stand as clear markers of Bye’s life and interaction with his Bible.",Bible; annotation,"Oxford, England",51.753738,-1.263460,https://catalog.libraries.psu.edu/catalog/321312,BS185 1732.O9 v.1,folio; interleaves; copious annotation; 11 x 8 inches,,manuscript and print,image/jpg,English; Latin,public domain,lwh_200
lwh_203,lwh_203.jpg,"Memoirs of the life of Robert Wilks, esq.: containing an account of his transactions before his coming to England, the rise of his reputation on the British stage, his adventures among the ladies, particularly his amours with Mrs. Rogers, Mrs. B-, an exact view of the principal parts he performed both in tragedy and comedy, the remarkable friendship between him and Mr. Farquhar, and other memorable circumstances of his life","Wilks, Robert",1732,"This item appears to be an anomaly in this selection of books—it is not a Bible nor is it annotated. In fact, it is a standard genre of life writing: the published memoir of early-eighteenth century actor, Robert Wilks (ca. 1665–1732). However, the material state of this memoir, much like the two Bibles, has been altered by a human agent through the method of extra-illustration. The process of extra-illustration was an intimate and expensive one: the extra-illustrator took apart a printed text, inserted prepared pages created out of engravings procured elsewhere, and then rebound the book. The added materials were often in conversation with the text on the facing page. Here, a “head,” or portrait, of Shakespeare has been added, responding to Wilks’s discussion of the bard. The art of extra-illustration, much like the Bibles, merges materials into a singular object and bears the insertion of the book owner. Life, here, is found not simply in Wilks’s writing but in the extra-illustrator’s labor—their presence lies in the alterations made to the text’s material state.",memoir; theatre; actors; comedians,"London, England",51.507351,-0.127758,https://catalog.libraries.psu.edu/catalog/24140195,PN2598.W54M4 1732,octavo; illustration; extra-illustration;  8 x 5 inches,,print,image/jpg,English,public domain,lwh_200
lwh_300,,Formatting Experience: Graphic Literacy in an Eighteenth-Century Manuscript Journal,Genevieve Gordon,2024,"Eighteenth-century manuscript culture emphasized the connection between a developing writer’s fluency with the physical and graphic elements of writing—their graphic literacy—and their moral character and identity. This lends an additional sense of “life” to manuscript life writing activities, where personal content combines with material processes like handwriting and formatting to create a layered process of self-fashioning. Such a process is exemplified in a manuscript travel diary written by a 15-year-old boy named T.W.R., who transformed a blank notebook into a 112-page, 5-chapter description of his travels abroad in 1799. Examining the graphic elements of this journal alongside two print texts that showcase scribal materiality’s relationship to self-fashioning—a copybook for young writers and a printed, ruled, and filled out annual student diary—helps elucidate the varied forms of graphic guidance available to young writers in late eighteenth-century England. In the broader history of life writing, these texts help give a fuller account of the ways young people engaged with the materiality and visuality of composing their own experiences in writing. ",travel; adolescent; poetry; Germany; copybook; penmanship; diary; commonplace book; index,"Norwich, England; London, England",,,,,,,,compound_object,,public domain,
lwh_301,lwh_301.jpg,A Journal in Germany of 42 Days by a Youth of Between 15 and 16 Years of Age,T.W.R.,1788-1801,"Student travel from England to continental Europe flourished in the eighteenth century as part of the Grand Tour tradition, but near the end of the century, shorter trips became more accessible for middle and merchant class families and provided wider opportunities for adolescent life writing. One such example is this well-preserved manuscript diary A Journal in Germany, written by a 15-year-old boy from Norwich identified as T.W.R. Written in neat roundhand, T.W.R.’s journal appears to mimic the formatting and paratextual elements of print books, including an index of contents, catchwords, page numbers, and chapter title pages. While the journal may have been copied by a paid professional scribe, the manuscript’s imperfections and inconsistencies suggest the possibility that the diarist himself copied it out from an earlier, rougher version. T.W.R.’s manuscript not only attests to his graphic literacy, but also invites us to speculate about the role of material imitation and emulation in the development of one’s identity through life writing, particularly in adolescence.  ",travel; adolescent; poetry; Germany,"Norwich, England",52.628101,1.299350,https://catalog.libraries.psu.edu/catalog/1436615,1995-0006R/A-S Mss.,"marbled board covers, quarter binding; 4 ¾ x 8 inches",,manuscript,image/jpg,English,public domain,lwh_300
